goAcc,goName
GO:0018731,1-oxa-2-oxocycloheptane lactonase activity
GO:0018732,sulfolactone hydrolase activity
GO:0018733,"3,4-dihydrocoumarin hydrolase activity"
GO:0018734,butyrolactone hydrolase activity
GO:0018741,alkyl sulfatase activity
GO:0018748,iprodione amidohydrolase activity
GO:0018749,"(3,5-dichlorophenylurea)acetate amidohydrolase activity"
GO:0018802,"2,4-dihydroxyhept-2-ene-1,7-dioate aldolase activity"
GO:0018842,3-carboxymuconate cycloisomerase type II activity
GO:0018853,perillyl-CoA synthetase activity
GO:0018854,3-isopropenyl-6-oxoheptanoyl-CoA synthetase activity
GO:0018855,"2-oxo-delta3-4,5,5-trimethylcyclopentenylacetyl-CoA synthetase activity"
GO:0018856,benzoyl acetate-CoA ligase activity
GO:0018857,"2,4-dichlorobenzoate-CoA ligase activity"
GO:0019028,viral capsid
GO:0019031,viral envelope
GO:0019058,viral infectious cycle
GO:0019105,N-palmitoyltransferase activity
GO:0019107,myristoyltransferase activity
GO:0019109,acyl-CoA reductase activity
GO:0019111,phenanthrol sulfotransferase activity
GO:0019112,phenanthrol glycosyltransferase activity
GO:0019116,hydroxy-nicotine oxidase activity
GO:0019150,D-ribulokinase activity
GO:0019166,trans-2-enoyl-CoA reductase (NADPH) activity
GO:0019175,alpha-ribazole-5'-P phosphatase activity
GO:0019176,dihydroneopterin monophosphate phosphatase activity
GO:0019177,dihydroneopterin triphosphate pyrophosphohydrolase activity
GO:0019178,"NADP phosphatase activity"
GO:0019186,acyl-CoA N-acyltransferase activity
GO:0019187,"beta-1,4-mannosyltransferase activity"
GO:0019198,transmembrane receptor protein phosphatase activity
GO:0019201,nucleotide kinase activity
GO:0019307,mannose biosynthetic process
GO:0019538,protein metabolic process
GO:0019684,"photosynthesis, light reaction"
GO:0019702,protein-arginine N5-methyltransferase activity
GO:0019705,protein-cysteine S-myristoyltransferase activity
GO:0019798,procollagen-proline dioxygenase activity
GO:0019807,aspartoacylase activity
GO:0019909,[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity
GO:0019914,cyclin-dependent protein kinase activating kinase regulator activity
GO:0030051,FK506-sensitive peptidyl-prolyl cis-trans isomerase
GO:0030076,light-harvesting complex
GO:0030077,plasma membrane light-harvesting complex
GO:0030189,chaperone activator activity
GO:0030351,"inositol-1,3,4,5,6-pentakisphosphate 3-phosphatase activity"
GO:0030352,"inositol-1,4,5,6-tetrakisphosphate 6-phosphatase activity"
GO:0030402,matrilysin-2 activity
GO:0030414,protease inhibitor activity
GO:0030523,dihydrolipoamide S-acyltransferase activity
GO:0030528,transcription regulator activity
GO:0030529,ribonucleoprotein complex
GO:0030586,[methionine synthase] reductase activity
GO:0030655,beta-lactam antibiotic catabolic process
GO:0030693,caspase activity
GO:0030731,guanidinoacetate N-methyltransferase activity
GO:0030785,[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity
GO:0030791,arsenite methyltransferase activity
GO:0030792,methylarsonite methyltransferase activity
GO:0031079,picornain 3C activity
GO:0031224,intrinsic to membrane
GO:0031278,"alpha-1,2-galactosyltransferase activity"
GO:0031955,short-chain-fatty-acid-CoA ligase activity
GO:0031956,medium-chain-fatty-acid-CoA ligase activity
GO:0032216,glucosaminyl-phosphotidylinositol O-acyltransferase activity
GO:0032312,regulation of ARF GTPase activity
GO:0032313,regulation of Rab GTPase activity
GO:0032442,phenylcoumaran benzylic ether reductase activity
GO:0032862,activation of Rho GTPase activity
GO:0032942,inositol tetrakisphosphate 2-kinase activity
GO:0033237,11-beta-hydroxysteroid dehydrogenase (NADP+) activity
GO:0033556,"dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity"
GO:0033677,DNA/RNA helicase activity
GO:0033754,"indoleamine 2,3-dioxygenase activity"
GO:0033764,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GO:0033765,"steroid dehydrogenase activity, acting on the CH-CH group of donors"
GO:0033868,Goodpasture-antigen-binding protein kinase activity
GO:0033871,[heparan sulfate]-glucosamine 3-sulfotransferase 2 activity
GO:0033919,"glucan 1,3-alpha-glucosidase activity"
GO:0034061,DNA polymerase activity
GO:0034062,RNA polymerase activity
GO:0034211,GTP-dependent protein kinase activity
GO:0035004,phosphoinositide 3-kinase activity
GO:0035023,regulation of Rho protein signal transduction
GO:0042027,cyclophilin-type peptidyl-prolyl cis-trans isomerase activity
GO:0042242,"cobyrinic acid a,c-diamide synthase activity"
GO:0042299,lupeol synthase activity
GO:0042469,versicolorin reductase activity
GO:0042499,signal peptide peptidase activity
GO:0042500,"aspartic endopeptidase activity, intramembrane cleaving"
GO:0042556,eukaryotic elongation factor-2 kinase regulator activity
GO:0042557,eukaryotic elongation factor-2 kinase activator activity
GO:0042576,aspartyl aminopeptidase activity
GO:0042623,"ATPase activity, coupled"
GO:0042624,"ATPase activity, uncoupled"
GO:0042781,3'-tRNA processing endoribonuclease activity
GO:0042961,antimonite-transporting ATPase activity
GO:0042972,licheninase activity
GO:0043141,ATP-dependent 5'-3' DNA helicase activity
GO:0043234,protein complex
GO:0043275,glutamate carboxypeptidase II activity
GO:0043338,"CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase"
GO:0043626,PCNA complex
GO:0043713,(R)-2-hydroxyisocaproate dehydrogenase activity
GO:0043723,"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase"
GO:0043726,5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity
GO:0043729,2-amino-5-formylamino-6-(5-phosphoribosylamino)pyrimidin-4(3H)-one formate-lyase activity
GO:0043734,DNA-N1-methyladenine dioxygenase activity
GO:0043737,deoxyribonuclease V activity
GO:0043738,F420H2 dehydrogenase activity
GO:0043741,L-2-aminoadipate N-acetyltransferase activity
GO:0043746,N2-acetyl-L-lysine aminotransferase activity
GO:0043747,N2-acetyl-L-lysine deacetylase activity
GO:0043748,O-succinylbenzoate synthase activity
GO:0043759,branched-chain acyl-CoA synthetase (ADP-forming) activity
GO:0043760,acetyldiaminopimelate aminotransferase activity
GO:0043761,archaetidylserine synthase activity
GO:0043762,aryl-CoA synthetase (ADP-forming) activity
GO:0043764,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity
GO:0043765,T/G mismatch-specific endonuclease activity
GO:0043766,Sep-tRNA:Cys-tRNA synthase activity
GO:0043770,demethylmenaquinone methyltransferase activity
GO:0043771,cytidine kinase activity
GO:0043773,coenzyme F420-0 gamma-glutamyl ligase activity
GO:0043774,coenzyme F420-2 alpha-glutamyl ligase activity
GO:0043775,"cobyrinate a,c-diamide synthase activity"
GO:0043776,cobalt-precorrin-6B C5-methyltransferase activity
GO:0043777,cobalt-precorrin-7 C15-methyltransferase activity
GO:0043780,cobalt-precorrin-5B C1-methyltransferase activity
GO:0043782,cobalt-precorrin-3 C17-methyltransferase activity
GO:0043786,cinnamate reductase activity
GO:0043788,cardiolipin synthetase 2 activity
GO:0043790,dimethyladenosine transferase activity
GO:0043791,dimethylamine methyltransferase activity
GO:0043801,hexulose-6-phosphate synthase activity
GO:0043803,hydroxyneurosporene-O-methyltransferase activity
GO:0043806,keto acid formate lyase activity
GO:0043814,phospholactate guanylyltransferase activity
GO:0043820,propionyl-CoA dehydrogenase activity
GO:0043823,spheroidene monooxygenase activity
GO:0043826,sulfur oxygenase reductase activity
GO:0043827,"tRNA (adenine-57, 58-N(1)-) methyltransferase activity"
GO:0043829,tRNA-specific adenosine-37 deaminase activity
GO:0043830,thiol-driven fumarate reductase activity
GO:0043832,"trans-2, cis-3 decenoyl-ACP isomerase activity"
GO:0043833,methylamine-specific methylcobalamin:coenzyme M methyltransferase activity
GO:0043834,trimethylamine methyltransferase activity
GO:0043840,branched-chain amino acid:2-keto-4-methylthiobutyrate aminotransferase activity
GO:0043841,(S)-lactate 2-kinase activity
GO:0043843,ADP-specific glucokinase activity
GO:0043849,Ras palmitoyltransferase activity
GO:0043851,methanol-specific methylcobalamin:coenzyme M methyltransferase activity
GO:0043852,monomethylamine methyltransferase activity
GO:0043859,cyanophycinase activity
GO:0043860,cyanophycin synthetase activity
GO:0043863,4-hydroxy-2-ketopimelate aldolase activity
GO:0043867,7-cyano-7-deazaguanine tRNA-ribosyltransferase activity
GO:0043876,D-threonine aldolase activity
GO:0043883,malolactic enzyme activity
GO:0043888,"(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase activity"
GO:0043890,N-acetylgalactosamine-6-sulfatase activity
GO:0045134,uridine-diphosphatase activity
GO:0045140,inositol phosphoceramide synthase activity
GO:0045156,"electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity"
GO:0045181,"glutamate synthase activity, NADH or NADPH as acceptor"
GO:0045226,extracellular polysaccharide biosynthetic process
GO:0045244,succinate-CoA ligase complex (GDP-forming)
GO:0045282,plasma membrane succinate dehydrogenase complex
GO:0045449,regulation of transcription
GO:0045543,gibberellin 2-beta-dioxygenase activity
GO:0045551,cinnamyl-alcohol dehydrogenase activity
GO:0045900,negative regulation of translational elongation
GO:0045941,positive regulation of transcription
GO:0046080,dUTP metabolic process
GO:0046428,"1,4-dihydroxy-2-naphthoate octaprenyltransferase activity"
GO:0046439,L-cysteine metabolic process
GO:0046522,S-methyl-5-thioribose kinase activity
GO:0046527,glucosyltransferase activity
GO:0046538,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity"
GO:0046571,aspartate-2-keto-4-methylthiobutyrate transaminase activity
GO:0046820,4-amino-4-deoxychorismate synthase activity
GO:0046836,glycolipid transport
GO:0046839,phospholipid dephosphorylation
GO:0046912,"transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer"
GO:0046920,"alpha(1,3)-fucosyltransferase activity"
GO:0046921,"alpha(1,6)-fucosyltransferase activity"
GO:0046936,deoxyadenosine deaminase activity
GO:0046941,azetidine-2-carboxylic acid acetyltransferase activity
GO:0047057,vitamin-K-epoxide reductase (warfarin-sensitive) activity
GO:0047493,ceramide cholinephosphotransferase activity
GO:0047598,7-dehydrocholesterol reductase activity
GO:0047681,aryl-alcohol dehydrogenase (NADP+) activity
GO:0047778,[citrate-(pro-3S)-lyase] thiolesterase activity
GO:0047865,dimethylglycine dehydrogenase activity
GO:0047927,gibberellin-44 dioxygenase activity
GO:0048037,cofactor binding
GO:0048045,trans-pentaprenyltranstransferase activity
GO:0048244,phytanoyl-CoA dioxygenase activity
GO:0048258,3-ketoglucose-reductase activity
GO:0048269,methionine adenosyltransferase complex
GO:0048270,methionine adenosyltransferase regulator activity
GO:0050046,lathosterol oxidase activity
GO:0050105,L-gulonolactone oxidase activity
GO:0050162,oxalate oxidase activity
GO:0050178,phenylpyruvate tautomerase activity
GO:0050243,pyruvate dehydrogenase (NADP+) activity
GO:0050356,tropine dehydrogenase activity
GO:0050381,unspecific monooxygenase activity
GO:0050513,glycoprotein 2-beta-D-xylosyltransferase activity
GO:0050516,inositol polyphosphate multikinase activity
GO:0050517,inositol hexakisphosphate kinase activity
GO:0050613,delta14-sterol reductase activity
GO:0050662,coenzyme binding
GO:0050694,galactose 3-O-sulfotransferase activity
GO:0050698,proteoglycan sulfotransferase activity
GO:0050757,thymidylate synthase biosynthetic process
GO:0050983,"spermidine catabolic process to deoxyhypusine, using deoxyhypusine synthase"
GO:0051056,regulation of small GTPase mediated signal transduction
GO:0051246,regulation of protein metabolic process
GO:0051336,regulation of hydrolase activity
GO:0051338,regulation of transferase activity
GO:0051339,regulation of lyase activity
GO:0051340,regulation of ligase activity
GO:0051341,regulation of oxidoreductase activity
GO:0051342,regulation of cyclic-nucleotide phosphodiesterase activity
GO:0051440,regulation of ubiquitin-protein ligase activity during meiotic cell cycle
GO:0051699,proline oxidase activity
GO:0051700,fructosyl-amino acid oxidase activity
GO:0051718,"DNA (cytosine-5-)-methyltransferase activity, acting on CpG substrates"
GO:0051719,"DNA (cytosine-5-)-methyltransferase activity, acting on CpN substrates"
GO:0051720,"DNA (cytosine-5-)-methyltransferase activity, acting on CpNpG substrates"
GO:0051734,ATP-dependent polynucleotide kinase activity
GO:0051735,GTP-dependent polynucleotide kinase activity
GO:0051786,"all-trans-retinol 13,14-reductase activity"
GO:0051861,glycolipid binding
GO:0051922,cholesterol sulfotransferase activity
GO:0051990,(R)-2-hydroxyglutarate dehydrogenase activity
