MMETSP_ID,JGI_ID,Percent_Identity,Annotations
GBG30975.1,141069,58.8,GBG30975.1 DnaJ-like subfamily C member 13 [Hondaea fermentalgiana]
GBG30979.1,141072,91.9,GBG30979.1 Mitochondrial import inner membrane translocase subunit Tim9 [Hondaea fermentalgiana]
GBG26454.1,141075,54.8,GBG26454.1 HEAT repeat-containing protein 5B [Hondaea fermentalgiana]
GBG29786.1,141082,68.4,"GBG29786.1 Phenylalanine--tRNA ligase, mitochondrial [Hondaea fermentalgiana]"
GBG24868.1,141084,100,GBG24868.1 Histone H4 [Hondaea fermentalgiana]
TYZ58397.1,141085,35.2,TYZ58397.1 hypothetical protein PybrP1_009658 [Pythium brassicum]
GBG29773.1,141086,83.5,GBG29773.1 Fumarylacetoacetase [Hondaea fermentalgiana]
GBG29758.1,141096,79.7,GBG29758.1 Nucleoside diphosphate-linked moiety X motif 6 [Hondaea fermentalgiana]
GBG29751.1,141100,69.4,GBG29751.1 ATP-dependent RNA helicase ded1 [Hondaea fermentalgiana]
GBG29734.1,141103,39.3,GBG29734.1 Hypothetical Protein FCC1311_059552 [Hondaea fermentalgiana]
GBG32965.1,141109,67.6,GBG32965.1 rRNA biosis protein RRP5 [Hondaea fermentalgiana]
GBG32958.1,141112,81.7,GBG32958.1 Retinol dehydrogenase 2 [Hondaea fermentalgiana]
GBG32946.1,141113,77.5,GBG32946.1 Nuclear transport factor 2 [Hondaea fermentalgiana]
GBG32947.1,141114,44.1,GBG32947.1 DNA polymerase I [Hondaea fermentalgiana]
GBG32948.1,141115,75,GBG32948.1 NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 13 [Hondaea fermentalgiana]
GBG32949.1,141116,91.7,GBG32949.1 Protein transport protein SEC23 [Hondaea fermentalgiana]
GBG32952.1,141118,67.6,GBG32952.1 Hypothetical Protein FCC1311_091782 [Hondaea fermentalgiana]
GBG34945.1,141122,65,GBG34945.1 O-acetyl-ADP-ribose deacetylase MACROD1 [Hondaea fermentalgiana]
GBG34947.1,141123,79.2,GBG34947.1 14-3-3-like protein [Hondaea fermentalgiana]
GBG34948.1,141124,70.8,GBG34948.1 RNA polymerase II-associated factor 1-like [Hondaea fermentalgiana]
GBG34952.1,141127,63.4,GBG34952.1 50S ribosomal protein L25 [Hondaea fermentalgiana]
GBG33782.1,141129,81.2,GBG33782.1 ATP-dependent RNA helicase DED1 [Hondaea fermentalgiana]
GBG33777.1,141131,78.5,GBG33777.1 UDP-N-acetylhexosamine pyrophosphorylase [Hondaea fermentalgiana]
GBG33773.1,141133,82.6,GBG33773.1 tRNA cytidine32/guanosine34-2'-O-methyltransferase [Hondaea fermentalgiana]
GBG34624.1,141137,55.8,GBG34624.1 Hypothetical Protein FCC1311_108462 [Hondaea fermentalgiana]
GBG34622.1,141140,71.6,"GBG34622.1 Protein kinase, putative [Hondaea fermentalgiana]"
XP_025190175.1,141148,72.5,XP_025190175.1 PHF5-like protein [Rhizophagus irregularis DAOM 181602=DAOM 197198]
GBG30233.1,141152,81.1,GBG30233.1 Hypothetical Protein FCC1311_064532 [Hondaea fermentalgiana]
GBG30228.1,141156,55.8,GBG30228.1 Hypothetical Protein FCC1311_064482 [Hondaea fermentalgiana]
GBG30216.1,141162,73.3,GBG30216.1 DnaJ protein-like [Hondaea fermentalgiana]
GBG30208.1,141165,46.4,GBG30208.1 Hypothetical Protein FCC1311_064282 [Hondaea fermentalgiana]
GBG30202.1,141169,59.9,GBG30202.1 Leishmanolysin-like [Hondaea fermentalgiana]
GBG31199.1,141171,33.5,GBG31199.1 Hypothetical Protein FCC1311_074202 [Hondaea fermentalgiana]
GBG29547.1,141176,73.4,GBG29547.1 Serine/threonine-protein phosphatase 6 regulatory subunit 1 [Hondaea fermentalgiana]
GBG29549.1,141178,87.8,GBG29549.1 NIPA-like protein 2 [Hondaea fermentalgiana]
GBG30761.1,141182,75.6,GBG30761.1 Hypothetical Protein FCC1311_069812 [Hondaea fermentalgiana]
GBG30765.1,141184,46.4,GBG30765.1 Ras-related protein Rab-21 [Hondaea fermentalgiana]
GBG30770.1,141187,53.4,GBG30770.1 Hypothetical Protein FCC1311_069902 [Hondaea fermentalgiana]
GBG30783.1,141199,50.5,GBG30783.1 Hypothetical Protein FCC1311_070032 [Hondaea fermentalgiana]
GBG30796.1,141205,78.8,GBG30796.1 Immune-associated nucleotide-binding protein 7 [Hondaea fermentalgiana]
GBG30799.1,141206,69,"GBG30799.1 ATP synthase subunit epsilon, mitochondrial [Hondaea fermentalgiana]"
GBG30812.1,141215,62.7,GBG30812.1 Vacuolar protein sorting/targeting protein 10 [Hondaea fermentalgiana]
GBG34911.1,141219,77.6,"GBG34911.1 Succinate dehydrogenase assembly factor 1, mitochondrial [Hondaea fermentalgiana]"
GBG34909.1,141222,84.7,GBG34909.1 Cystathionine beta-synthase [Hondaea fermentalgiana]
GBG29441.1,141227,33.5,GBG29441.1 Hypothetical Protein FCC1311_056622 [Hondaea fermentalgiana]
GBG26773.1,141237,62.5,GBG26773.1 Hypothetical Protein FCC1311_029952 [Hondaea fermentalgiana]
GBG26760.1,141244,53,GBG26760.1 Diphosphomevalonate decarboxylase [Hondaea fermentalgiana]
GBG30627.1,141247,67.2,GBG30627.1 Glucose-repressible alcohol dehydrogenase transcriptional effector [Hondaea fermentalgiana]
GBG26755.1,141255,52.8,GBG26755.1 Transport and Golgi organization protein 6-like [Hondaea fermentalgiana]
MYE89542.1,141261,49.1,MYE89542.1 hypothetical protein [Candidatus Poribacteria bacterium]
GBG32544.1,141273,49.5,GBG32544.1 Hypothetical Protein FCC1311_087682 [Hondaea fermentalgiana]
GBG32543.1,141274,48.6,GBG32543.1 E3 ubiquitin-protein ligase MARCH6 [Hondaea fermentalgiana]
GBG32542.1,141275,44.1,GBG32542.1 Sodium/hydrogen exchanger 7 [Hondaea fermentalgiana]
GBG30537.1,141285,66.4,GBG30537.1 Transmembrane protein 256 [Hondaea fermentalgiana]
GBG30531.1,141287,93.5,GBG30531.1 Vacuolar protein sorting-associated protein 45 [Hondaea fermentalgiana]
GBG30516.1,141295,64.6,GBG30516.1 Cryptochrome DASH [Hondaea fermentalgiana]
GBG30514.1,141296,68.3,GBG30514.1 Mitogen-activated protein kinase kinase 3 [Hondaea fermentalgiana]
GBG30518.1,141302,61.2,GBG30518.1 Protein-S-isoprenylcysteine O-methyltransferase [Hondaea fermentalgiana]
GBG30519.1,141303,46.9,GBG30519.1 Hypothetical Protein FCC1311_067392 [Hondaea fermentalgiana]
GBG30522.1,141306,59,GBG30522.1 Golgi apparatus membrane protein tvp38 [Hondaea fermentalgiana]
GBG30498.1,141308,48.8,"GBG30498.1 Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Hondaea fermentalgiana]"
GBG30506.1,141311,81.9,GBG30506.1 ABC transporter G family member 27 [Hondaea fermentalgiana]
GBG30489.1,141314,68.3,GBG30489.1 Tubulin--tyrosine ligase-like protein 12 [Hondaea fermentalgiana]
GBG30135.1,141317,61.8,GBG30135.1 ATP-dependent RNA helicase DBP2 [Hondaea fermentalgiana]
GBG30139.1,141318,32.9,GBG30139.1 Hypothetical Protein FCC1311_063592 [Hondaea fermentalgiana]
GBG30140.1,141319,92.6,GBG30140.1 60S ribosomal protein L27a [Hondaea fermentalgiana]
GBG30143.1,141322,54.7,GBG30143.1 F-box/LRR-repeat protein 13 [Hondaea fermentalgiana]
GBG30143.1,141323,47.9,GBG30143.1 F-box/LRR-repeat protein 13 [Hondaea fermentalgiana]
GBG30146.1,141324,57.3,GBG30146.1 ATP-dependent RNA helicase dbp3 [Hondaea fermentalgiana]
GBG30153.1,141329,44.1,"GBG30153.1 Vacuolar membrane-associated protein IML1, partial [Hondaea fermentalgiana]"
GBG30157.1,141332,87.8,"GBG30157.1 Tryptophan--tRNA ligase, cytoplasmic [Hondaea fermentalgiana]"
GBG23811.1,141334,74.6,GBG23811.1 Myosin-1 [Hondaea fermentalgiana]
GBG24725.1,141345,31.8,GBG24725.1 Ubiquitin-conjugating enzyme E2 E2 [Hondaea fermentalgiana]
GBG24719.1,141351,54.7,GBG24719.1 Hypothetical Protein FCC1311_009372 [Hondaea fermentalgiana]
GBG24717.1,141352,85.9,GBG24717.1 26S proteasome non-ATPase regulatory subunit 1 [Hondaea fermentalgiana]
GBG24714.1,141353,65.3,GBG24714.1 FAD-dependent monooxygenase apdD [Hondaea fermentalgiana]
GBG24712.1,141354,71.1,GBG24712.1 Transmembrane protein 135 [Hondaea fermentalgiana]
GBG24702.1,141360,61,"GBG24702.1 Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 [Hondaea fermentalgiana]"
GBG24694.1,141366,51.2,GBG24694.1 Hypothetical Protein FCC1311_009122 [Hondaea fermentalgiana]
GBG24692.1,141368,86.5,GBG24692.1 Myosin-6 [Hondaea fermentalgiana]
GBG24687.1,141373,57.9,GBG24687.1 Hypothetical Protein FCC1311_009052 [Hondaea fermentalgiana]
GBG28024.1,141374,38.1,GBG28024.1 Hypothetical Protein FCC1311_042472 [Hondaea fermentalgiana]
GBG28026.1,141375,64.4,GBG28026.1 Hypothetical Protein FCC1311_042492 [Hondaea fermentalgiana]
GBG28030.1,141377,87.2,"GBG28030.1 3-ketoacyl-CoA thiolase, peroxisomal [Hondaea fermentalgiana]"
GBG28031.1,141378,59.8,GBG28031.1 Ethylene receptor [Hondaea fermentalgiana]
GBG28039.1,141384,63.3,GBG28039.1 Ceramide synthase 6 [Hondaea fermentalgiana]
GBG32819.1,141388,76.3,"GBG32819.1 Heat shock protein, putative [Hondaea fermentalgiana]"
GBG28014.1,141401,76.4,GBG28014.1 Cell division ATP-binding protein FtsE [Hondaea fermentalgiana]
GBG28013.1,141404,81,"GBG28013.1 DNA replication licensing factor, putative [Hondaea fermentalgiana]"
GBG28005.1,141408,79.2,GBG28005.1 30S ribosomal protein S17 [Hondaea fermentalgiana]
GBG27999.1,141410,50.8,GBG27999.1 Werner Syndrome-like exonuclease [Hondaea fermentalgiana]
GBG27998.1,141416,92.2,"GBG27998.1 ABC transporter ATP-binding protein, putative [Hondaea fermentalgiana]"
GBG27991.1,141420,71.6,GBG27991.1 eIF-2-alpha kinase activator GCN1 [Hondaea fermentalgiana]
GBG27998.1,141423,91.3,"GBG27998.1 ABC transporter ATP-binding protein, putative [Hondaea fermentalgiana]"
GBG27982.1,141426,75.3,GBG27982.1 Sucrose transport protein [Hondaea fermentalgiana]
GBG32000.1,141431,64,GBG32000.1 WD repeat-containing protein 1 [Hondaea fermentalgiana]
GBG32001.1,141432,35.8,GBG32001.1 Signal transducer and activator of transcription A [Hondaea fermentalgiana]
GBG32002.1,141433,83.1,GBG32002.1 UDP-glucose 4-epimerase [Hondaea fermentalgiana]
GBG32003.1,141436,55.3,GBG32003.1 Glucose-repressible alcohol dehydrogenase transcriptional effector [Hondaea fermentalgiana]
GBG34233.1,141439,55.7,GBG34233.1 Hypothetical Protein FCC1311_104572 [Hondaea fermentalgiana]
GBG32006.1,141441,69.6,GBG32006.1 Serine/threonine-protein kinase RIO1 [Hondaea fermentalgiana]
GBG32010.1,141442,67.8,GBG32010.1 40S ribosomal protein S18 [Hondaea fermentalgiana]
GBG32012.1,141445,53,GBG32012.1 Hypothetical Protein FCC1311_082372 [Hondaea fermentalgiana]
GBG32015.1,141448,88.6,GBG32015.1 Histidine triad nucleotide-binding protein 1 [Hondaea fermentalgiana]
GBG32328.1,141457,58.2,GBG32328.1 Cysteine and histidine-rich domain-containing protein 1 [Hondaea fermentalgiana]
GBG32330.1,141460,60.9,GBG32330.1 PolyA RNA polymerase protein 1 [Hondaea fermentalgiana]
GBG32331.1,141461,71.8,GBG32331.1 Sodium channel protein type 1 subunit alpha [Hondaea fermentalgiana]
GBG32333.1,141463,67.2,GBG32333.1 Hypothetical Protein FCC1311_085582 [Hondaea fermentalgiana]
GBG32341.1,141466,54.2,GBG32341.1 Baculoviral IAP repeat-containing protein 7 [Hondaea fermentalgiana]
AIJ29324.1,141473,99.6,AIJ29324.1 polyketide synthase subunit C [Aurantiochytrium sp. L-BL10]
GBG32349.1,141477,58.1,GBG32349.1 X-linked retinitis pigmentosa GTPase regulator [Hondaea fermentalgiana]
GBG32350.1,141478,87.7,GBG32350.1 ATP-dependent RNA helicase DBP5 [Hondaea fermentalgiana]
GBG32351.1,141479,67.1,GBG32351.1 Histidine biosynthesis trifunctional protein [Hondaea fermentalgiana]
GBG32364.1,141485,78.4,GBG32364.1 Valine--tRNA ligase [Hondaea fermentalgiana]
GBG32365.1,141487,83.8,GBG32365.1 Notchless protein-like 1 [Hondaea fermentalgiana]
GBG32381.1,141489,66.8,GBG32381.1 Pre-miRNA 5'-monophosphate methyltransferase [Hondaea fermentalgiana]
GBG32395.1,141495,75,GBG32395.1 Histone-lysine N-methyltransferase SETD2 [Hondaea fermentalgiana]
GBG32402.1,141497,51.3,GBG32402.1 UBX domain-containing protein 7 [Hondaea fermentalgiana]
GBG34995.1,141499,55.8,GBG34995.1 Epoxide hydrolase 3 [Hondaea fermentalgiana]
GBG34996.1,141500,82.9,GBG34996.1 Serine palmitoyltransferase 2 [Hondaea fermentalgiana]
GBG34999.1,141501,64,GBG34999.1 WD repeat-containing protein 75 [Hondaea fermentalgiana]
GBG31360.1,141503,28.8,GBG31360.1 Ankyrin-1 [Hondaea fermentalgiana]
GBG31355.1,141506,56.5,GBG31355.1 Nucleolar protein 14-like [Hondaea fermentalgiana]
GBG31351.1,141508,68.7,GBG31351.1 Zinc finger protein 786 [Hondaea fermentalgiana]
GBG31349.1,141509,85,GBG31349.1 2-3-amino-3-carboxypropylhistidine synthase subunit 1 [Hondaea fermentalgiana]
GBG31333.1,141511,61.1,GBG31333.1 Mannose-P-dolichol utilization defect 1 protein-like 1 [Hondaea fermentalgiana]
GBG31339.1,141515,78.8,GBG31339.1 Inosine triphosphate pyrophosphatase [Hondaea fermentalgiana]
GBG31329.1,141519,81.6,GBG31329.1 3-hydroxy-3-methylglutaryl-coenzyme A reductase 3 [Hondaea fermentalgiana]
GBG31327.1,141520,61.6,GBG31327.1 Hypothetical Protein FCC1311_075502 [Hondaea fermentalgiana]
GBG31308.1,141526,66.1,GBG31308.1 Hypothetical Protein FCC1311_075312 [Hondaea fermentalgiana]
GBG31309.1,141527,77.8,GBG31309.1 Temperature-induced lipocalin-1 [Hondaea fermentalgiana]
GBG31303.1,141530,42.5,GBG31303.1 Hypothetical Protein FCC1311_075262 [Hondaea fermentalgiana]
GBG31302.1,141531,58.3,GBG31302.1 Phosphoinositide phosphatase SAC1 [Hondaea fermentalgiana]
GBG31297.1,141532,53.8,GBG31297.1 Zinc finger protein 143 [Hondaea fermentalgiana]
GBG31293.1,141536,80.5,GBG31293.1 DNA-directed RNA polymerase II subunit rpb3 [Hondaea fermentalgiana]
GBG31283.1,141543,75,GBG31283.1 Hypothetical Protein FCC1311_075062 [Hondaea fermentalgiana]
GBG31281.1,141546,82.8,GBG31281.1 Mitochondrial pyruvate carrier-like protein [Hondaea fermentalgiana]
GBG31280.1,141547,70.7,"GBG31280.1 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial [Hondaea fermentalgiana]"
GBG30199.1,141554,58.3,GBG30199.1 LARGE xylosyl- and glucuronyltransferase 1 [Hondaea fermentalgiana]
GBG27863.1,141555,42.8,GBG27863.1 Poly ADP-ribose polymerase 6 [Hondaea fermentalgiana]
GBG27867.1,141560,45.3,GBG27867.1 Hypothetical Protein FCC1311_095661 [Hondaea fermentalgiana]
GBG27870.1,141563,76.6,GBG27870.1 26S proteasome regulatory subunit 8-like [Hondaea fermentalgiana]
GBG27873.1,141565,69.3,GBG27873.1 Kynurenine 3-monooxygenase [Hondaea fermentalgiana]
GBG25175.1,141577,77.6,GBG25175.1 Hypothetical Protein FCC1311_013922 [Hondaea fermentalgiana]
GBG25172.1,141580,63.2,GBG25172.1 TBC1 domain family member 19 [Hondaea fermentalgiana]
GBG24453.1,141587,84.8,GBG24453.1 RNA-binding protein 34 [Hondaea fermentalgiana]
GBG24448.1,141591,96.3,GBG24448.1 Septum-promoting GTP-binding protein 1 [Hondaea fermentalgiana]
GBG24446.1,141593,74.8,GBG24446.1 UBX domain-containing protein 3 [Hondaea fermentalgiana]
GBG24444.1,141595,76.2,"GBG24444.1 Dual specificity protein phosphatase, putative [Hondaea fermentalgiana]"
GBG34011.1,141598,81.1,GBG34011.1 Methionine aminopeptidase 1 [Hondaea fermentalgiana]
KNZ79404.1,141604,58.8,KNZ79404.1 SUMO-conjugating enzyme ubc9 [Termitomyces sp. J132]
GBG34021.1,141610,62.3,GBG34021.1 Hypothetical Protein FCC1311_102442 [Hondaea fermentalgiana]
GBG31444.1,141611,53,GBG31444.1 Hypothetical Protein FCC1311_076682 [Hondaea fermentalgiana]
GBG28643.1,141613,56.7,GBG28643.1 Cholesterol dehydrogenase [Hondaea fermentalgiana]
GBG30486.1,141616,77.3,GBG30486.1 FUN14 domain-containing protein 1 [Hondaea fermentalgiana]
GBG30485.1,141618,79,GBG30485.1 Calponin-1 [Hondaea fermentalgiana]
GBG30484.1,141619,59,GBG30484.1 E3 ubiquitin-protein ligase RNF149 [Hondaea fermentalgiana]
GBG31459.1,141622,59,GBG31459.1 Protein DEK [Hondaea fermentalgiana]
GBG31454.1,141625,35,GBG31454.1 TPR repeat-containing protein yrrB [Hondaea fermentalgiana]
GBG31453.1,141627,77.8,GBG31453.1 Importin-5 [Hondaea fermentalgiana]
XP_024397122.1,141630,33.2,XP_024397122.1 putative membrane-bound O-acyltransferase C24H6.01c isoform X3 [Physcomitrium patens]
GBG30487.1,141631,76.1,GBG30487.1 Glycerol uptake protein 1 [Hondaea fermentalgiana]
GBG30475.1,141638,69.9,GBG30475.1 Sulfate transporter [Hondaea fermentalgiana]
GBG30474.1,141639,44.8,GBG30474.1 Hypothetical Protein FCC1311_066932 [Hondaea fermentalgiana]
GBG30466.1,141647,65.1,GBG30466.1 60S ribosomal protein L28 [Hondaea fermentalgiana]
GBG30461.1,141650,60.1,GBG30461.1 Ubiquilin-4 [Hondaea fermentalgiana]
GBG30449.1,141651,64.3,GBG30449.1 Hypothetical Protein FCC1311_066682 [Hondaea fermentalgiana]
GBG30450.1,141652,86,GBG30450.1 Inosine-5'-monophosphate dehydrogenase [Hondaea fermentalgiana]
GBG30455.1,141653,59.1,GBG30455.1 Hypothetical Protein FCC1311_066742 [Hondaea fermentalgiana]
GBG30447.1,141656,69.6,GBG30447.1 Acyl-CoA-binding protein [Hondaea fermentalgiana]
GBG30445.1,141660,62.6,GBG30445.1 Lysophospholipase NTE1 [Hondaea fermentalgiana]
GBG30430.1,141670,89.1,GBG30430.1 Inorganic pyrophosphatase [Hondaea fermentalgiana]
GBG30427.1,141672,67,GBG30427.1 Calmodulin [Hondaea fermentalgiana]
GBG30406.1,141683,73.1,GBG30406.1 Histone chaperone ASF1 [Hondaea fermentalgiana]
GBG30405.1,141684,56.3,GBG30405.1 Hypothetical Protein FCC1311_066242 [Hondaea fermentalgiana]
GBG30398.1,141688,33,GBG30398.1 Hypothetical Protein FCC1311_066172 [Hondaea fermentalgiana]
GBG30396.1,141691,88.6,GBG30396.1 Tyrosine-protein phosphatase SIW14 [Hondaea fermentalgiana]
GBG34934.1,141697,33.9,GBG34934.1 Hypothetical Protein FCC1311_111572 [Hondaea fermentalgiana]
GBG32287.1,141702,65,GBG32287.1 AP-3 complex subunit beta [Hondaea fermentalgiana]
GBG30020.1,141703,68.5,GBG30020.1 Cinnamyl alcohol dehydrogenase 2 [Hondaea fermentalgiana]
GBG32294.1,141707,82.9,GBG32294.1 Anthranilate synthase anthranilate synthase component [Hondaea fermentalgiana]
GBG32304.1,141713,84,"GBG32304.1 28S ribosomal protein S6, mitochondrial [Hondaea fermentalgiana]"
GBG32309.1,141715,60.9,GBG32309.1 Hypothetical Protein FCC1311_085342 [Hondaea fermentalgiana]
GBG32310.1,141716,92.2,GBG32310.1 BEACH domain-containing protein lvsA [Hondaea fermentalgiana]
GBG32316.1,141721,81.6,GBG32316.1 Hypothetical Protein FCC1311_085412 [Hondaea fermentalgiana]
GBG32224.1,141726,43.4,GBG32224.1 Hypothetical Protein FCC1311_084492 [Hondaea fermentalgiana]
GBG27934.1,141733,68.1,GBG27934.1 Cystathionine gamma-lyase [Hondaea fermentalgiana]
GBG27937.1,141737,64.8,GBG27937.1 Transmembrane protein 135 [Hondaea fermentalgiana]
GBG27939.1,141739,47.8,GBG27939.1 Hypothetical Protein FCC1311_041622 [Hondaea fermentalgiana]
GBG27945.1,141740,55.4,GBG27945.1 Sentrin-specific protease [Hondaea fermentalgiana]
GBG27953.1,141745,57.8,GBG27953.1 Hypothetical Protein FCC1311_041762 [Hondaea fermentalgiana]
GBG34226.1,141753,51.6,GBG34226.1 UDP-N-acetylglucosamine transferase subunit ALG14-like [Hondaea fermentalgiana]
GBG34229.1,141755,56.2,GBG34229.1 Laccase-1 [Hondaea fermentalgiana]
GBG34230.1,141756,52.7,GBG34230.1 Hypothetical Protein FCC1311_104542 [Hondaea fermentalgiana]
GBG34235.1,141761,76.8,GBG34235.1 Hypothetical Protein FCC1311_104592 [Hondaea fermentalgiana]
GBG34236.1,141763,55.2,GBG34236.1 Protein CWC15-like [Hondaea fermentalgiana]
GBG34241.1,141766,64.7,GBG34241.1 Transmembrane protein 184A [Hondaea fermentalgiana]
GBG34250.1,141771,88.4,GBG34250.1 3-hydroxyacyl-CoA dehydrogenase type-2 [Hondaea fermentalgiana]
GBG34251.1,141772,54.9,GBG34251.1 NAD kinase [Hondaea fermentalgiana]
GBG34255.1,141776,72,GBG34255.1 Transmembrane protein DDB_G0269096 [Hondaea fermentalgiana]
GBG34257.1,141777,55.4,GBG34257.1 Sorting nexin-4 [Hondaea fermentalgiana]
GBG34269.1,141788,56.9,GBG34269.1 Hypothetical Protein FCC1311_022912 [Hondaea fermentalgiana]
GBG34683.1,141794,96.2,GBG34683.1 26S proteasome non-ATPase regulatory subunit 14 [Hondaea fermentalgiana]
GBG34686.1,141796,68.2,GBG34686.1 30S ribosomal protein S9 [Hondaea fermentalgiana]
GBG34690.1,141801,65,GBG34690.1 Hypothetical Protein FCC1311_109122 [Hondaea fermentalgiana]
GBG34691.1,141802,79.4,GBG34691.1 Origin recognition complex subunit 4 [Hondaea fermentalgiana]
GBG33653.1,141810,72.3,GBG33653.1 Activating signal cointegrator 1 complex subunit 3-like [Hondaea fermentalgiana]
GBG33653.1,141811,84.2,GBG33653.1 Activating signal cointegrator 1 complex subunit 3-like [Hondaea fermentalgiana]
GBG31462.1,141815,55.8,GBG31462.1 L-azetidine-2-carboxylic acid acetyltransferase [Hondaea fermentalgiana]
GBG33918.1,141817,41.1,GBG33918.1 Ankyrin repeat and KH domain-containing protein 1 [Hondaea fermentalgiana]
GBG26086.1,141819,40.1,GBG26086.1 Hypothetical Protein FCC1311_023062 [Hondaea fermentalgiana]
GBG26080.1,141821,79.3,GBG26080.1 Hypothetical Protein FCC1311_023002 [Hondaea fermentalgiana]
GBG26076.1,141824,70.4,GBG26076.1 Guanine nucleotide-binding protein subunit beta-1 [Hondaea fermentalgiana]
GBG26090.1,141828,33.4,GBG26090.1 Hypothetical Protein FCC1311_023102 [Hondaea fermentalgiana]
GBG34523.1,141829,70.1,"GBG34523.1 Mitochondrial intermediate peptidase, mitochondrial [Hondaea fermentalgiana]"
GBG34520.1,141831,77.1,"GBG34520.1 Atypical kinase COQ8A, mitochondrial [Hondaea fermentalgiana]"
GBG34517.1,141832,68.5,GBG34517.1 Low specificity L-threonine aldolase [Hondaea fermentalgiana]
GBG34514.1,141833,79.9,GBG34514.1 Myosin-1 [Hondaea fermentalgiana]
GBG26095.1,141834,79.8,GBG26095.1 Protein farnesyltransferase subunit beta [Hondaea fermentalgiana]
GBG32181.1,141836,66.5,GBG32181.1 NADH dehydrogenase ubiquinone 1 alpha subcomplex assembly factor 3 [Hondaea fermentalgiana]
GBG32178.1,141837,66.1,GBG32178.1 Tail-anchored protein insertion receptor WRB [Hondaea fermentalgiana]
GBG32199.1,141850,63.1,GBG32199.1 Arylsulfatase [Hondaea fermentalgiana]
GBG32201.1,141853,67.9,GBG32201.1 RNA polymerase II subunit A C-terminal domain phosphatase [Hondaea fermentalgiana]
GBG32205.1,141854,73.8,GBG32205.1 Tetratricopeptide repeat protein 4-like [Hondaea fermentalgiana]
GBG31440.1,141865,83.6,"GBG31440.1 NAD-specific glutamate dehydrogenase, putative [Hondaea fermentalgiana]"
GBG31421.1,141873,81.2,"GBG31421.1 Pyruvate dehydrogenase acetyl-transferring kinase, mitochondrial [Hondaea fermentalgiana]"
GBG31401.1,141875,67.3,GBG31401.1 1-aminocyclopropane-1-carboxylate synthase 1 [Hondaea fermentalgiana]
GBG31401.1,141876,70.3,GBG31401.1 1-aminocyclopropane-1-carboxylate synthase 1 [Hondaea fermentalgiana]
GBG31409.1,141881,70.1,GBG31409.1 ADP-ribosylation factor [Hondaea fermentalgiana]
GBG34052.1,141891,57.2,GBG34052.1 Sulfate adenylyltransferase [Hondaea fermentalgiana]
GBG34052.1,141892,88.4,GBG34052.1 Sulfate adenylyltransferase [Hondaea fermentalgiana]
GBG34044.1,141896,68.5,GBG34044.1 Hypothetical Protein FCC1311_102672 [Hondaea fermentalgiana]
GBG34037.1,141900,45.3,GBG34037.1 Hypothetical Protein FCC1311_102602 [Hondaea fermentalgiana]
GBG33455.1,141901,66,GBG33455.1 Hypothetical Protein FCC1311_096782 [Hondaea fermentalgiana]
GBG33449.1,141904,79.5,GBG33449.1 Sorting nexin 1 [Hondaea fermentalgiana]
GBG33448.1,141905,69.8,GBG33448.1 Hypothetical Protein FCC1311_096712 [Hondaea fermentalgiana]
GBG33432.1,141908,56.8,GBG33432.1 Hypothetical Protein FCC1311_096552 [Hondaea fermentalgiana]
GBG33144.1,141929,66.5,GBG33144.1 Hypothetical Protein FCC1311_093682 [Hondaea fermentalgiana]
GBG33138.1,141932,77,GBG33138.1 Hypothetical Protein FCC1311_093622 [Hondaea fermentalgiana]
GBG25153.1,141937,79.4,"GBG25153.1 Threonine dehydratase, mitochondrial [Hondaea fermentalgiana]"
GBG32794.1,141939,42.9,GBG32794.1 Hypothetical Protein FCC1311_090192 [Hondaea fermentalgiana]
GBG25151.1,141943,86.8,GBG25151.1 Mitochondrial import inner membrane translocase subunit Tim23 [Hondaea fermentalgiana]
GBG32798.1,141946,40.5,GBG32798.1 Hypothetical Protein FCC1311_090232 [Hondaea fermentalgiana]
GBG32800.1,141948,85.9,"GBG32800.1 Isocitrate dehydrogenase NAD subunit alpha, mitochondrial [Hondaea fermentalgiana]"
GBG32801.1,141949,63.8,GBG32801.1 Adenosine deaminase-like protein [Hondaea fermentalgiana]
GBG32802.1,141950,94.7,GBG32802.1 26S proteasome regulatory subunit 6A-like [Hondaea fermentalgiana]
GBG32804.1,141951,63.6,GBG32804.1 Metabotropic glutamate receptor-like protein B [Hondaea fermentalgiana]
GBG32805.1,141952,93,GBG32805.1 ATP-dependent RNA helicase FAL1 [Hondaea fermentalgiana]
GBG33106.1,141958,70.1,GBG33106.1 Metal-nicotianamine transporter YSL2 [Hondaea fermentalgiana]
GBG33112.1,141967,48,"GBG33112.1 Protein kinase, putative [Hondaea fermentalgiana]"
GBG33113.1,141968,68.3,"GBG33113.1 Carrier protein YMC2, mitochondrial [Hondaea fermentalgiana]"
GBG33118.1,141976,46.3,GBG33118.1 RNA recognition motif domain containing protein [Hondaea fermentalgiana]
GBG33123.1,141979,45.5,GBG33123.1 Transportin MOS14 [Hondaea fermentalgiana]
GBG33136.1,141989,70,GBG33136.1 Lysine--tRNA ligase [Hondaea fermentalgiana]
