From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)
GBG24363.1	A0A2R5G7C3	unreviewed	A0A2R5G7C3_9STRA	Cytochrome b5	FCC1311_005809	Hondaea fermentalgiana	465		FCC1311_005809		
GBG24362.1	A0A2R5G022	unreviewed	A0A2R5G022_9STRA	Spindle and kinetochore-associated protein 1	FCC1311_005802	Hondaea fermentalgiana	281		FCC1311_005802		
GBG24361.1	A0A2R5G8I9	unreviewed	A0A2R5G8I9_9STRA	Cytochrome c oxidase subunit 6A, mitochondrial	FCC1311_005792	Hondaea fermentalgiana	111		FCC1311_005792		
GBG24360.1	A0A2R5G041	unreviewed	A0A2R5G041_9STRA	Moesin/ezrin/radixin-like 1	FCC1311_005782	Hondaea fermentalgiana	776		FCC1311_005782		
GBG24359.1	A0A2R5G221	unreviewed	A0A2R5G221_9STRA	Inner membrane protein	FCC1311_005772	Hondaea fermentalgiana	81		FCC1311_005772		
GBG24358.1	A0A2R5G3M7	unreviewed	A0A2R5G3M7_9STRA	SH3 domain-containing YSC84-like protein 1	FCC1311_005762	Hondaea fermentalgiana	439		FCC1311_005762		
GBG24357.1	A0A2R5G011	unreviewed	A0A2R5G011_9STRA	Wee1-like protein kinase	FCC1311_005752	Hondaea fermentalgiana	867		FCC1311_005752		
GBG24356.1	A0A2R5G008	unreviewed	A0A2R5G008_9STRA	Calmodulin	FCC1311_005742	Hondaea fermentalgiana	2227		FCC1311_005742		
GBG24355.1	A0A2R5G1F3	unreviewed	A0A2R5G1F3_9STRA	Maturin	FCC1311_005732	Hondaea fermentalgiana	198		FCC1311_005732		
GBG24354.1	A0A2R5G9J9	unreviewed	A0A2R5G9J9_9STRA	Multiple RNA-binding domain-containing protein 1	FCC1311_005722	Hondaea fermentalgiana	780		FCC1311_005722		
GBG24353.1	A0A2R5G7B9	unreviewed	A0A2R5G7B9_9STRA	WD repeat-containing protein 38	FCC1311_005712	Hondaea fermentalgiana	357		FCC1311_005712		
GBG24352.1	A0A2R5G012	unreviewed	A0A2R5G012_9STRA	3 beta-hydroxysteroid dehydrogenase type 4	FCC1311_003791	Hondaea fermentalgiana	367		FCC1311_003791		
GBG24351.1	A0A2R5G8H9	unreviewed	A0A2R5G8H9_9STRA	UBX domain-containing protein	FCC1311_005692	Hondaea fermentalgiana	538		FCC1311_005692		
GBG24350.1	A0A2R5G031	unreviewed	A0A2R5G031_9STRA	Ephrin type-A receptor 10	FCC1311_005682	Hondaea fermentalgiana	459		FCC1311_005682		
GBG24349.1	A0A2R5G211	unreviewed	A0A2R5G211_9STRA	NADH-u_ox-rdase domain-containing protein	FCC1311_005672	Hondaea fermentalgiana	89		FCC1311_005672		
GBG24348.1	A0A2R5G3L7	unreviewed	A0A2R5G3L7_9STRA	Anoct_dimer domain-containing protein	FCC1311_005662	Hondaea fermentalgiana	305		FCC1311_005662		
GBG24347.1	A0A2R5G003	unreviewed	A0A2R5G003_9STRA	RING-type domain-containing protein	FCC1311_005652	Hondaea fermentalgiana	627		FCC1311_005652		
GBG24346.1	A0A2R5G000	unreviewed	A0A2R5G000_9STRA	Acyl-coenzyme A thioesterase 8	FCC1311_003731	Hondaea fermentalgiana	376		FCC1311_003731		
GBG24345.1	A0A2R5G1E2	unreviewed	A0A2R5G1E2_9STRA	UVR domain-containing protein	FCC1311_005632	Hondaea fermentalgiana	986		FCC1311_005632		
GBG24344.1	A0A2R5G9I8	unreviewed	A0A2R5G9I8_9STRA	Bromo domain-containing protein	FCC1311_005622	Hondaea fermentalgiana	630		FCC1311_005622		
GBG24343.1	A0A2R5G7A9	unreviewed	A0A2R5G7A9_9STRA	Amino acid transporter AVT1B	FCC1311_005612	Hondaea fermentalgiana	561		FCC1311_005612		
GBG24342.1	A0A2R5G001	unreviewed	A0A2R5G001_9STRA	Elongation factor 1-beta	FCC1311_005602	Hondaea fermentalgiana	219		FCC1311_005602		
GBG24341.1	A0A2R5G8H0	unreviewed	A0A2R5G8H0_9STRA	BLUF domain-containing protein	FCC1311_005592	Hondaea fermentalgiana	136		FCC1311_005592		
GBG24340.1	A0A2R5G021	unreviewed	A0A2R5G021_9STRA	Uncharacterized protein	FCC1311_005582	Hondaea fermentalgiana	327		FCC1311_005582		
GBG24339.1	A0A2R5G205	unreviewed	A0A2R5G205_9STRA	Secreted protein	FCC1311_005572	Hondaea fermentalgiana	739		FCC1311_005572		
GBG24338.1	A0A2R5G3K7	unreviewed	A0A2R5G3K7_9STRA	ANK_REP_REGION domain-containing protein	FCC1311_005562	Hondaea fermentalgiana	686		FCC1311_005562		
GBG24337.1	A0A2R5FZY9	unreviewed	A0A2R5FZY9_9STRA	Protein kinase, putative	FCC1311_005552	Hondaea fermentalgiana	457		FCC1311_005552		
GBG24336.1	A0A2R5FZY8	unreviewed	A0A2R5FZY8_9STRA	Protein-lysine methyltransferase METTL21D	FCC1311_005542	Hondaea fermentalgiana	1268		FCC1311_005542		
GBG24335.1	A0A2R5G1D1	unreviewed	A0A2R5G1D1_9STRA	Intraflagellar transport protein 20-like	FCC1311_005532	Hondaea fermentalgiana	133		FCC1311_005532		
GBG24334.1	A0A2R5G9H8	unreviewed	A0A2R5G9H8_9STRA	Apple domain-containing protein	FCC1311_005522	Hondaea fermentalgiana	181		FCC1311_005522		
GBG24333.1	A0A2R5G7A1	unreviewed	A0A2R5G7A1_9STRA	Dehydrogenase/reductase SDR family protein 7-like	FCC1311_005512	Hondaea fermentalgiana	288		FCC1311_005512		
GBG24332.1	A0A2R5FZZ2	unreviewed	A0A2R5FZZ2_9STRA	Heat shock protein, putative	FCC1311_005502	Hondaea fermentalgiana	969		FCC1311_005502		
GBG24331.1	A0A2R5G8G0	unreviewed	A0A2R5G8G0_9STRA	Protein kinase domain-containing protein	FCC1311_005492	Hondaea fermentalgiana	542		FCC1311_005492		
GBG24330.1	A0A2R5G006	unreviewed	A0A2R5G006_9STRA	EGF domain-specific O-linked N-acetylglucosamine transferase	FCC1311_005482	Hondaea fermentalgiana	530		FCC1311_005482		
GBG24329.1	A0A2R5G1Z5	unreviewed	A0A2R5G1Z5_9STRA	2-oxoglutarate-dependent dioxygenase mpl2	FCC1311_005472	Hondaea fermentalgiana	598		FCC1311_005472		
GBG24328.1	A0A2R5G3J6	unreviewed	A0A2R5G3J6_9STRA	Etoposide-induced protein 2.4-like	FCC1311_005462	Hondaea fermentalgiana	341		FCC1311_005462		
GBG24327.1	A0A2R5FZX8	unreviewed	A0A2R5FZX8_9STRA	Intraflagellar transport protein 81-like	FCC1311_005452	Hondaea fermentalgiana	690		FCC1311_005452		
GBG24326.1	A0A2R5FZY0	unreviewed	A0A2R5FZY0_9STRA	ABC transporter G family member 22	FCC1311_005442	Hondaea fermentalgiana	653		FCC1311_005442		
GBG24325.1	A0A2R5G1C2	unreviewed	A0A2R5G1C2_9STRA	Acetyltransferase	FCC1311_005432	Hondaea fermentalgiana	516		FCC1311_005432		
GBG24324.1	A0A2R5G9H2	unreviewed	A0A2R5G9H2_9STRA	Hsp90 chaperone protein kinase-targeting subunit	FCC1311_005422	Hondaea fermentalgiana	562		FCC1311_005422		
GBG24323.1	A0A2R5G791	unreviewed	A0A2R5G791_9STRA	Protein kinase, putative	FCC1311_005412	Hondaea fermentalgiana	454		FCC1311_005412		
GBG24322.1	A0A2R5FZY3	unreviewed	A0A2R5FZY3_9STRA	DNA topoisomerase 2 (EC 5.6.2.2)	FCC1311_005402	Hondaea fermentalgiana	1193		FCC1311_005402		
GBG24321.1	A0A2R5G8E9	unreviewed	A0A2R5G8E9_9STRA	Leucine-rich repeat serine/threonine-protein kinase 2	FCC1311_005392	Hondaea fermentalgiana	758		FCC1311_005392		
GBG24320.1	A0A2R5FZZ8	unreviewed	A0A2R5FZZ8_9STRA	Protein zwilch-like	FCC1311_005382	Hondaea fermentalgiana	746		FCC1311_005382		
GBG24319.1	A0A2R5G1Y6	unreviewed	A0A2R5G1Y6_9STRA	Clustered mitochondria protein-like	FCC1311_005372	Hondaea fermentalgiana	622		FCC1311_005372		
GBG24318.1	A0A2R5G3J0	unreviewed	A0A2R5G3J0_9STRA	Vesicle-associated membrane protein 714	FCC1311_005362	Hondaea fermentalgiana	222		FCC1311_005362		
GBG24317.1	A0A2R5FZW8	unreviewed	A0A2R5FZW8_9STRA	Homoserine O-acetyltransferase	FCC1311_005352	Hondaea fermentalgiana	434		FCC1311_005352		
GBG24316.1	A0A2R5FZW9	unreviewed	A0A2R5FZW9_9STRA	F-box/LRR-repeat protein 14	FCC1311_005342	Hondaea fermentalgiana	529		FCC1311_005342		
GBG24315.1	A0A2R5G1B1	unreviewed	A0A2R5G1B1_9STRA	Protein kinase, putative	FCC1311_005332	Hondaea fermentalgiana	1078		FCC1311_005332		
GBG24314.1	A0A2R5G9G2	unreviewed	A0A2R5G9G2_9STRA	Carboxypeptidase (EC 3.4.16.-)	FCC1311_005322	Hondaea fermentalgiana	496		FCC1311_005322		
GBG24313.1	A0A2R5G782	unreviewed	A0A2R5G782_9STRA	VWFA domain-containing protein	FCC1311_005312	Hondaea fermentalgiana	612		FCC1311_005312		
GBG24312.1	A0A2R5FZX5	unreviewed	A0A2R5FZX5_9STRA	RNA polymerase I-specific transcription initiation factor RRN3	FCC1311_005302	Hondaea fermentalgiana	721		FCC1311_005302		
GBG24311.1	A0A2R5G8D9	unreviewed	A0A2R5G8D9_9STRA	L-ascorbate peroxidase T, chloroplastic	FCC1311_005292	Hondaea fermentalgiana	298		FCC1311_005292		
GBG24310.1	A0A2R5FZZ0	unreviewed	A0A2R5FZZ0_9STRA	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	FCC1311_005282	Hondaea fermentalgiana	1739		FCC1311_005282		
GBG24309.1	A0A2R5G1X6	unreviewed	A0A2R5G1X6_9STRA	Rho guanine nucleotide exchange factor, putative	FCC1311_005272	Hondaea fermentalgiana	883		FCC1311_005272		
GBG24308.1	A0A2R5G3H9	unreviewed	A0A2R5G3H9_9STRA	Cilia- and flagella-associated protein 206	FCC1311_005262	Hondaea fermentalgiana	114		FCC1311_005262		
GBG24307.1	A0A2R5FZW1	unreviewed	A0A2R5FZW1_9STRA	ACT domain-containing protein	FCC1311_005252	Hondaea fermentalgiana	215		FCC1311_005252		
GBG24306.1	A0A2R5FZW0	unreviewed	A0A2R5FZW0_9STRA	Formate nitrite transporter	FCC1311_005242	Hondaea fermentalgiana	321		FCC1311_005242		
GBG24305.1	A0A2R5G1A1	unreviewed	A0A2R5G1A1_9STRA	Metallo-beta-lactamase domain-containing protein 2	FCC1311_002161	Hondaea fermentalgiana	236		FCC1311_002161		
GBG24304.1	A0A2R5G9F1	unreviewed	A0A2R5G9F1_9STRA	Methyltransf_11 domain-containing protein	FCC1311_005222	Hondaea fermentalgiana	272		FCC1311_005222		
GBG24303.1	A0A2R5G773	unreviewed	A0A2R5G773_9STRA	Uncharacterized protein	FCC1311_005212	Hondaea fermentalgiana	403		FCC1311_005212		
GBG24302.1	A0A2R5FZW2	unreviewed	A0A2R5FZW2_9STRA	C2H2-type domain-containing protein	FCC1311_005202	Hondaea fermentalgiana	666		FCC1311_005202		
GBG24301.1	A0A2R5G8D0	unreviewed	A0A2R5G8D0_9STRA	Proline dehydrogenase (EC 1.5.5.2)	FCC1311_005192	Hondaea fermentalgiana	586		FCC1311_005192		
GBG24300.1	A0A2R5FZX9	unreviewed	A0A2R5FZX9_9STRA	BTB domain-containing protein	FCC1311_005182	Hondaea fermentalgiana	1382		FCC1311_005182		
GBG24299.1	A0A2R5G1W7	unreviewed	A0A2R5G1W7_9STRA	TLC domain-containing protein	FCC1311_005172	Hondaea fermentalgiana	261		FCC1311_005172		
GBG24298.1	A0A2R5G3H0	unreviewed	A0A2R5G3H0_9STRA	Glutamine cyclotransferase, putative	FCC1311_005162	Hondaea fermentalgiana	272		FCC1311_005162		
GBG24297.1	A0A2R5FZV3	unreviewed	A0A2R5FZV3_9STRA	Tubulin polyglutamylase TTLL5	FCC1311_005152	Hondaea fermentalgiana	654		FCC1311_005152		
GBG24296.1	A0A2R5FZV0	unreviewed	A0A2R5FZV0_9STRA	Nucleotid_trans domain-containing protein	FCC1311_005142	Hondaea fermentalgiana	656		FCC1311_005142		
GBG24295.1	A0A2R5G188	unreviewed	A0A2R5G188_9STRA	Elongin-A3	FCC1311_005132	Hondaea fermentalgiana	494		FCC1311_005132		
GBG24294.1	A0A2R5G9E7	unreviewed	A0A2R5G9E7_9STRA	WAPL domain-containing protein	FCC1311_005122	Hondaea fermentalgiana	216		FCC1311_005122		
GBG24293.1	A0A2R5G762	unreviewed	A0A2R5G762_9STRA	Uncharacterized protein	FCC1311_005112	Hondaea fermentalgiana	194		FCC1311_005112		
GBG24292.1	A0A2R5FZV2	unreviewed	A0A2R5FZV2_9STRA	Myosin-IB	FCC1311_005102	Hondaea fermentalgiana	953		FCC1311_005102		
GBG24291.1	A0A2R5G8C1	unreviewed	A0A2R5G8C1_9STRA	RNA-binding protein 42	FCC1311_005092	Hondaea fermentalgiana	290		FCC1311_005092		
GBG24290.1	A0A2R5FZX0	unreviewed	A0A2R5FZX0_9STRA	Malate dehydrogenase (EC 1.1.1.37)	FCC1311_005082	Hondaea fermentalgiana	344		FCC1311_005082		
GBG24289.1	A0A2R5G1V8	unreviewed	A0A2R5G1V8_9STRA	THO complex subunit 2	FCC1311_005072	Hondaea fermentalgiana	613		FCC1311_005072		
GBG24288.1	A0A2R5G3G3	unreviewed	A0A2R5G3G3_9STRA	Meiotic recombination protein SPO11	FCC1311_005062	Hondaea fermentalgiana	405		FCC1311_005062		
GBG24287.1	A0A2R5FZU3	unreviewed	A0A2R5FZU3_9STRA	Ubiquitin-like domain-containing protein	FCC1311_005052	Hondaea fermentalgiana	483		FCC1311_005052		
GBG24286.1	A0A2R5FZU4	unreviewed	A0A2R5FZU4_9STRA	Ras-like GTP-binding protein RHO	FCC1311_005042	Hondaea fermentalgiana	193		FCC1311_005042		
GBG24285.1	A0A2R5G180	unreviewed	A0A2R5G180_9STRA	PAS domain-containing protein	FCC1311_005032	Hondaea fermentalgiana	1615		FCC1311_005032		
GBG24284.1	A0A2R5G9A4	unreviewed	A0A2R5G9A4_9STRA	Proteasome activator complex subunit 3	FCC1311_005022	Hondaea fermentalgiana	10931		FCC1311_005022		
GBG24283.1	A0A2R5G753	unreviewed	A0A2R5G753_9STRA	Sterol 3-beta-glucosyltransferase	FCC1311_005012	Hondaea fermentalgiana	1320		FCC1311_005012		
GBG24282.1	A0A2R5FZU2	unreviewed	A0A2R5FZU2_9STRA	Aquaporin-9	FCC1311_005002	Hondaea fermentalgiana	365		FCC1311_005002		
GBG24281.1	A0A2R5G8B1	unreviewed	A0A2R5G8B1_9STRA	Aquaporin-3	FCC1311_004992	Hondaea fermentalgiana	340		FCC1311_004992		
GBG24280.1	A0A2R5FZW5	unreviewed	A0A2R5FZW5_9STRA	Aquaporin-9	FCC1311_004982	Hondaea fermentalgiana	339		FCC1311_004982		
GBG24279.1	A0A2R5G1U4	unreviewed	A0A2R5G1U4_9STRA	Lateral signaling target protein 2-like	FCC1311_004972	Hondaea fermentalgiana	692		FCC1311_004972		
GBG24278.1	A0A2R5G3F5	unreviewed	A0A2R5G3F5_9STRA	Ankyrin repeat and protein kinase domain-containing protein 1	FCC1311_004962	Hondaea fermentalgiana	756		FCC1311_004962		
GBG24277.1	A0A2R5FZT5	unreviewed	A0A2R5FZT5_9STRA	Acyl-coenzyme A thioesterase 9, mitochondrial	FCC1311_001811	Hondaea fermentalgiana	462		FCC1311_001811		
GBG24276.1	A0A2R5FZT6	unreviewed	A0A2R5FZT6_9STRA	methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	FCC1311_004942	Hondaea fermentalgiana	386		FCC1311_004942		
GBG24275.1	A0A2R5G165	unreviewed	A0A2R5G165_9STRA	ATP-dependent RNA helicase dhh1	FCC1311_004932	Hondaea fermentalgiana	536		FCC1311_004932		
GBG24274.1	A0A2R5G998	unreviewed	A0A2R5G998_9STRA	Cytochrome b5	FCC1311_004922	Hondaea fermentalgiana	220		FCC1311_004922		
GBG24273.1	A0A2R5G742	unreviewed	A0A2R5G742_9STRA	Enoyl-CoA delta isomerase 1, mitochondrial	FCC1311_101411	Hondaea fermentalgiana	273		FCC1311_101411		
GBG24272.1	A0A2R5FZT3	unreviewed	A0A2R5FZT3_9STRA	DNA topoisomerase 2 (EC 5.6.2.2)	FCC1311_004902	Hondaea fermentalgiana	1653		FCC1311_004902		
GBG24271.1	A0A2R5G8A1	unreviewed	A0A2R5G8A1_9STRA	Thiopurine S-methyltransferase	FCC1311_004892	Hondaea fermentalgiana	278		FCC1311_004892		
GBG24270.1	A0A2R5FZV4	unreviewed	A0A2R5FZV4_9STRA	Cilia- and flagella-associated protein 300	FCC1311_004882	Hondaea fermentalgiana	671		FCC1311_004882		
GBG24269.1	A0A2R5G1T0	unreviewed	A0A2R5G1T0_9STRA	Protein kinase, putative	FCC1311_004872	Hondaea fermentalgiana	653		FCC1311_004872		
GBG24268.1	A0A2R5G3E6	unreviewed	A0A2R5G3E6_9STRA	Protein kinase, putative	FCC1311_004862	Hondaea fermentalgiana	844		FCC1311_004862		
GBG24267.1	A0A2R5FZS5	unreviewed	A0A2R5FZS5_9STRA	Chromo domain-containing protein	FCC1311_004852	Hondaea fermentalgiana	485		FCC1311_004852		
GBG24266.1	A0A2R5FZS6	unreviewed	A0A2R5FZS6_9STRA	Chromobox protein-like 5	FCC1311_004842	Hondaea fermentalgiana	149		FCC1311_004842		
GBG24265.1	A0A2R5G155	unreviewed	A0A2R5G155_9STRA	Flagellar associated protein	FCC1311_004832	Hondaea fermentalgiana	216		FCC1311_004832		
GBG24264.1	A0A2R5G994	unreviewed	A0A2R5G994_9STRA	Transcription initiation factor TFIID subunit 1	FCC1311_004822	Hondaea fermentalgiana	685		FCC1311_004822		
GBG24263.1	A0A2R5G730	unreviewed	A0A2R5G730_9STRA	Activating signal cointegrator 1 complex subunit 3	FCC1311_004812	Hondaea fermentalgiana	2222		FCC1311_004812		
GBG24262.1	A0A2R5FZS4	unreviewed	A0A2R5FZS4_9STRA	Thioredoxin, putative	FCC1311_004802	Hondaea fermentalgiana	243		FCC1311_004802		
GBG24261.1	A0A2R5G892	unreviewed	A0A2R5G892_9STRA	Long-chain-fatty-acid--CoA ligase ACSBG2	FCC1311_044431	Hondaea fermentalgiana	494		FCC1311_044431		
GBG24260.1	A0A2R5FZU7	unreviewed	A0A2R5FZU7_9STRA	Calmodulin	FCC1311_004782	Hondaea fermentalgiana	490		FCC1311_004782		
GBG24259.1	A0A2R5G1S2	unreviewed	A0A2R5G1S2_9STRA	Adenosylhomocysteinase (EC 3.3.1.1)	FCC1311_004772	Hondaea fermentalgiana	482		FCC1311_004772		
GBG24258.1	A0A2R5G3D7	unreviewed	A0A2R5G3D7_9STRA	EF-hand domain-containing protein	FCC1311_004762	Hondaea fermentalgiana	366		FCC1311_004762		
GBG24257.1	A0A2R5FZR5	unreviewed	A0A2R5FZR5_9STRA	Uncharacterized protein	FCC1311_004752	Hondaea fermentalgiana	374		FCC1311_004752		
GBG24256.1	A0A2R5FZR6	unreviewed	A0A2R5FZR6_9STRA	Cilia-and flagella-associated protein 100	FCC1311_004742	Hondaea fermentalgiana	611		FCC1311_004742		
GBG24255.1	A0A2R5G149	unreviewed	A0A2R5G149_9STRA	Abhydrolase_3 domain-containing protein	FCC1311_004732	Hondaea fermentalgiana	357		FCC1311_004732		
GBG24254.1	A0A2R5G990	unreviewed	A0A2R5G990_9STRA	Laminin subunit alpha-2	FCC1311_004722	Hondaea fermentalgiana	1071		FCC1311_004722		
GBG24253.1	A0A2R5G716	unreviewed	A0A2R5G716_9STRA	Ankyrin repeat and KH domain-containing protein 1	FCC1311_004712	Hondaea fermentalgiana	235		FCC1311_004712		
GBG24252.1	A0A2R5FZR4	unreviewed	A0A2R5FZR4_9STRA	Calmodulin	FCC1311_004702	Hondaea fermentalgiana	261		FCC1311_004702		
GBG24251.1	A0A2R5G883	unreviewed	A0A2R5G883_9STRA	Rho GTPase-activating protein gacY	FCC1311_004692	Hondaea fermentalgiana	494		FCC1311_004692		
GBG24250.1	A0A2R5FZT7	unreviewed	A0A2R5FZT7_9STRA	Serine/threonine-protein kinase PRP4-like	FCC1311_004682	Hondaea fermentalgiana	480		FCC1311_004682		
GBG24249.1	A0A2R5G1R3	unreviewed	A0A2R5G1R3_9STRA	LisH domain-containing protein	FCC1311_004672	Hondaea fermentalgiana	411		FCC1311_004672		
GBG24248.1	A0A2R5G3C9	unreviewed	A0A2R5G3C9_9STRA	Peptidyl-prolyl cis-trans isomerase FKBP5	FCC1311_004662	Hondaea fermentalgiana	300		FCC1311_004662		
GBG24247.1	A0A2R5FZQ5	unreviewed	A0A2R5FZQ5_9STRA	Protein phosphatase 1B	FCC1311_004652	Hondaea fermentalgiana	704		FCC1311_004652		
GBG24246.1	A0A2R5FZQ6	unreviewed	A0A2R5FZQ6_9STRA	NADH dehydrogenase ubiquinone iron-sulfur protein 6, mitochondrial	FCC1311_004642	Hondaea fermentalgiana	119		FCC1311_004642		
GBG24245.1	A0A2R5G139	unreviewed	A0A2R5G139_9STRA	TPR_REGION domain-containing protein	FCC1311_004632	Hondaea fermentalgiana	1166		FCC1311_004632		
GBG24244.1	A0A2R5G988	unreviewed	A0A2R5G988_9STRA	Phosphatidylinositol/phosphatidylcholine transfer protein SFH1	FCC1311_099851	Hondaea fermentalgiana	510		FCC1311_099851		
GBG24243.1	A0A2R5G711	unreviewed	A0A2R5G711_9STRA	Phosphatidylinositol/phosphatidylcholine transfer protein SFH14	FCC1311_099861	Hondaea fermentalgiana	456		FCC1311_099861		
GBG24242.1	A0A2R5FZQ4	unreviewed	A0A2R5FZQ4_9STRA	Nuclear pore complex protein Nup85	FCC1311_004602	Hondaea fermentalgiana	401		FCC1311_004602		
GBG24241.1	A0A2R5G874	unreviewed	A0A2R5G874_9STRA	Uridine kinase (EC 2.7.1.48)	FCC1311_004592	Hondaea fermentalgiana	280		FCC1311_004592		
GBG24240.1	A0A2R5FZS7	unreviewed	A0A2R5FZS7_9STRA	Ryanodine receptor 1	FCC1311_004582	Hondaea fermentalgiana	2418		FCC1311_004582		
GBG24239.1	A0A2R5G1Q3	unreviewed	A0A2R5G1Q3_9STRA	CLIP-associating protein 1	FCC1311_004572	Hondaea fermentalgiana	1266		FCC1311_004572		
GBG24238.1	A0A2R5G3B9	unreviewed	A0A2R5G3B9_9STRA	Nucleoporin NDC1	FCC1311_004562	Hondaea fermentalgiana	344		FCC1311_004562		
GBG24237.1	A0A2R5FZP5	unreviewed	A0A2R5FZP5_9STRA	Pantothenate kinase 1	FCC1311_004552	Hondaea fermentalgiana	608		FCC1311_004552		
GBG24236.1	A0A2R5FZP7	unreviewed	A0A2R5FZP7_9STRA	Pumilio-like 1	FCC1311_004542	Hondaea fermentalgiana	1023		FCC1311_004542		
GBG24235.1	A0A2R5G131	unreviewed	A0A2R5G131_9STRA	Arylsulfatase	FCC1311_004532	Hondaea fermentalgiana	797		FCC1311_004532		
GBG24234.1	A0A2R5G983	unreviewed	A0A2R5G983_9STRA	Pre-mRNA-processing protein prp40	FCC1311_004522	Hondaea fermentalgiana	786		FCC1311_004522		
GBG24233.1	A0A2R5G703	unreviewed	A0A2R5G703_9STRA	RING-type domain-containing protein	FCC1311_004512	Hondaea fermentalgiana	1125		FCC1311_004512		
GBG24232.1	A0A2R5FZP4	unreviewed	A0A2R5FZP4_9STRA	Tubulin polyglutamylase TTLL5	FCC1311_004502	Hondaea fermentalgiana	609		FCC1311_004502		
GBG24231.1	A0A2R5G865	unreviewed	A0A2R5G865_9STRA	Clustered mitochondria protein-like	FCC1311_004492	Hondaea fermentalgiana	1340		FCC1311_004492		
GBG24230.1	A0A2R5FZR7	unreviewed	A0A2R5FZR7_9STRA	6-pyruvoyltetrahydropterin synthase (EC 4.2.3.12)	FCC1311_004482	Hondaea fermentalgiana	214		FCC1311_004482		
GBG24229.1	A0A2R5G1P5	unreviewed	A0A2R5G1P5_9STRA	ERCC4 domain-containing protein	FCC1311_004472	Hondaea fermentalgiana	315		FCC1311_004472		
GBG24228.1	A0A2R5G3A9	unreviewed	A0A2R5G3A9_9STRA	Acetyl-CoA acetyltransferase, mitochondrial	FCC1311_053901	Hondaea fermentalgiana	440		FCC1311_053901		
GBG24227.1	A0A2R5FZN7	unreviewed	A0A2R5FZN7_9STRA	Spermatosis-associated protein 17	FCC1311_004452	Hondaea fermentalgiana	324		FCC1311_004452		
GBG24226.1	A0A2R5FZN6	unreviewed	A0A2R5FZN6_9STRA	tRNA dimethylallyltransferase, mitochondrial	FCC1311_004442	Hondaea fermentalgiana	517		FCC1311_004442		
GBG24225.1	A0A2R5G120	unreviewed	A0A2R5G120_9STRA	Elongation factor 1-beta	FCC1311_004432	Hondaea fermentalgiana	182		FCC1311_004432		
GBG24224.1	A0A2R5G976	unreviewed	A0A2R5G976_9STRA	EF-hand domain-containing protein	FCC1311_004422	Hondaea fermentalgiana	107		FCC1311_004422		
GBG24223.1	A0A2R5G6Z4	unreviewed	A0A2R5G6Z4_9STRA	Phosphatidate phosphatase LPIN3	FCC1311_053961	Hondaea fermentalgiana	357		FCC1311_053961		
GBG24222.1	A0A2R5FZN4	unreviewed	A0A2R5FZN4_9STRA	Vacuolar protein sorting-associated protein 26	FCC1311_004402	Hondaea fermentalgiana	297		FCC1311_004402		
GBG24221.1	A0A2R5G855	unreviewed	A0A2R5G855_9STRA	Transmembrane protein	FCC1311_004392	Hondaea fermentalgiana	186		FCC1311_004392		
GBG24220.1	A0A2R5FZQ7	unreviewed	A0A2R5FZQ7_9STRA	YTH domain-containing protein	FCC1311_004382	Hondaea fermentalgiana	435		FCC1311_004382		
GBG24219.1	A0A2R5G1N7	unreviewed	A0A2R5G1N7_9STRA	Uncharacterized protein	FCC1311_004372	Hondaea fermentalgiana	183		FCC1311_004372		
GBG24218.1	A0A2R5G399	unreviewed	A0A2R5G399_9STRA	Inositol polyphosphate 5-phosphatase, putative	FCC1311_004362	Hondaea fermentalgiana	429		FCC1311_004362		
GBG24217.1	A0A2R5FZM5	unreviewed	A0A2R5FZM5_9STRA	UDP-glucose 4-epimerase	FCC1311_004352	Hondaea fermentalgiana	370		FCC1311_004352		
GBG24216.1	A0A2R5FZM7	unreviewed	A0A2R5FZM7_9STRA	Src kinase-associated phosphoprotein 1	FCC1311_004342	Hondaea fermentalgiana	442		FCC1311_004342		
GBG24215.1	A0A2R5G111	unreviewed	A0A2R5G111_9STRA	Transporter, major facilitator family	FCC1311_004332	Hondaea fermentalgiana	596		FCC1311_004332		
GBG24214.1	A0A2R5G970	unreviewed	A0A2R5G970_9STRA	ADP,ATP carrier protein	FCC1311_004322	Hondaea fermentalgiana	745		FCC1311_004322		
GBG24213.1	A0A2R5G6X8	unreviewed	A0A2R5G6X8_9STRA	Methyltransf_11 domain-containing protein	FCC1311_004312	Hondaea fermentalgiana	720		FCC1311_004312		
GBG24212.1	A0A2R5FZM6	unreviewed	A0A2R5FZM6_9STRA	Peptidyl-prolyl cis-trans isomerase D	FCC1311_004302	Hondaea fermentalgiana	434		FCC1311_004302		
GBG24211.1	A0A2R5G845	unreviewed	A0A2R5G845_9STRA	PNPLA domain-containing protein	FCC1311_004292	Hondaea fermentalgiana	679		FCC1311_004292		
GBG24210.1	A0A2R5FZP6	unreviewed	A0A2R5FZP6_9STRA	Mitochondrial inner membrane protease ATP23 (EC 3.4.24.-)	FCC1311_004282	Hondaea fermentalgiana	170		FCC1311_004282		
